"model","accuracy","type1","type2"
"logFCS_clust_m1_tail",0.0886699507389163,0.911330049261084,0
"logFCS_clust_m2_tail",0.0886699507389163,0.911330049261084,0
"logFCS_clust_m3_tail",0.108374384236453,0.891625615763547,0
"logFCS_lhz_m1_tail",0.0886699507389163,0.911330049261084,0
"logFCS_lhz_m2_tail",0.0886699507389163,0.911330049261084,0
"logFCS_lhz_m3_tail",0.0886699507389163,0.911330049261084,0
"logFCS_TA_m1_tail",0.0886699507389163,0.911330049261084,0
"logFCS_TA_m2_tail",0.0886699507389163,0.911330049261084,0
"logFCS_TA_m3_tail",0.103448275862069,0.896551724137931,0
"HDDS_clust_m1_tail",0.763546798029557,0.236453201970443,0
"HDDS_clust_m2_tail",0.862068965517241,0.137931034482759,0
"HDDS_clust_m3_tail",0.852216748768473,0.142857142857143,0.00492610837438424
"HDDS_lhz_m1_tail",0.763546798029557,0.236453201970443,0
"HDDS_lhz_m2_tail",0.763546798029557,0.236453201970443,0
"HDDS_lhz_m3_tail",0.763546798029557,0.236453201970443,0
"HDDS_TA_m1_tail",0.763546798029557,0.236453201970443,0
"HDDS_TA_m2_tail",0.842364532019704,0.152709359605911,0.00492610837438424
"HDDS_TA_m3_tail",0.857142857142857,0.142857142857143,0
"rCSI_clust_m1_tail",0.458128078817734,0.541871921182266,0
"rCSI_clust_m2_tail",0.472906403940887,0.527093596059113,0
"rCSI_clust_m3_tail",0.497536945812808,0.492610837438424,0.00985221674876847
"rCSI_lhz_m1_tail",0.458128078817734,0.541871921182266,0
"rCSI_lhz_m2_tail",0.458128078817734,0.541871921182266,0
"rCSI_lhz_m3_tail",0.458128078817734,0.512315270935961,0.0295566502463054
"rCSI_TA_m1_tail",0.463054187192118,0.536945812807882,0
"rCSI_TA_m2_tail",0.492610837438424,0.487684729064039,0.0197044334975369
"rCSI_TA_m3_tail",0.522167487684729,0.463054187192118,0.0147783251231527
