"","search","lat","lon","location_type","formatted","mkt"
"56","grocery zomba,Malawi",-15.3871152,35.3210127,"GEOMETRIC_CENTER","Zomba, Malawi","ZOMBA"
"57","grocery thondwe,Malawi",-15.3871152,35.3210127,"GEOMETRIC_CENTER","Zomba, Malawi","THONDWE"
"58","grocery chiradzulu,Malawi",-15.7423151,35.2587964,"APPROXIMATE","Chiradzulu, Malawi","CHIRADZULU"
"59","grocery lunzu,Malawi",-15.7128344,35.0086977,"GEOMETRIC_CENTER","Blantyre, Malawi","LUNZU"
"60","grocery limbe,Malawi",-15.8155133,35.0613818,"GEOMETRIC_CENTER","Chilembwe House Churchill Road Next To National Bank Southern Province, Blantyre, Malawi","LIMBE"
"61","grocery bvumbwe,Malawi",-15.9298101,35.078989,"GEOMETRIC_CENTER","M2, Chigumula, Malawi","BVUMBWE"
"62","grocery mwanza,Malawi",-15.5997929,34.5140637,"APPROXIMATE","Mwanza, Malawi","MWANZA"
"63","grocery neno,Malawi",-15.6850711,34.5749882,"APPROXIMATE","Neno, Malawi","NENO"
"64","grocery luchenza,Malawi",-15.8006221,35.0245597,"GEOMETRIC_CENTER","M2, Blantyre, Malawi","LUCHENZA"
"65","grocery migowi,Malawi",-15.720539,35.68364,"GEOMETRIC_CENTER","T415, Siana, Malawi","MIGOWI"
"66","grocery phalombe,Malawi",NA,NA,NA,NA,"PHALOMBE"
"67","grocery muloza,Malawi",NA,NA,NA,NA,"MULOZA"
"68","grocery chikwawa,Malawi",NA,NA,NA,NA,"CHIKWAWA"
"69","grocery ngabu,Malawi",-16.2715916,34.8706935,"GEOMETRIC_CENTER","Nchalo, Malawi","NGABU"
"70","grocery nchalo,Malawi",-16.2715916,34.8706935,"GEOMETRIC_CENTER","Nchalo, Malawi","NCHALO"
"71","grocery bangula,Malawi",-16.573253,35.1103736,"APPROXIMATE","Bangula, Malawi","BANGULA"
"72","grocery nsanje,Malawi",-16.7288202,35.1708741,"APPROXIMATE","Nsanje, Malawi","NSANJE"
"73","grocery chilinga,Malawi",-15.0379336,35.2164495,"APPROXIMATE","Chilinga, Malawi","CHILINGA"
