"actual","predict"
4.6875,4.86374405470367
5.05882352941176,5.19080038027011
4.94117647058824,4.98800061538964
5.72727272727273,5.24080320389665
4.5625,5.0568433217931
5.625,5.26223675380553
4.94736842105263,4.91606412423166
6.17391304347826,5.34565528771544
5.23529411764706,5.23412717692039
5.11111111111111,5.16366361123012
6.04545454545455,5.33976914473659
5.29411764705882,5.04977047840207
6.05263157894737,5.80087454681862
5.68181818181818,5.25560245546151
6.05555555555556,6.02755659811401
5.35294117647059,5.37106119951892
5.5625,5.23578170976335
5.72,5.99592973074665
5.27777777777778,5.92296597497486
5.52631578947368,5.58753178505505
5.0625,5.50419028820478
5.80952380952381,5.85828410012622
5.33333333333333,5.09243619093973
5.21052631578947,4.81957788871252
5.17647058823529,5.28747515237816
6.09090909090909,5.44942999692711
5.3125,5.1931421461773
5,5.03038698866287
5.82352941176471,5.13019483948904
5.66666666666667,5.10523468064133
5.09523809523809,5.15637471080876
5.25,4.85076094987366
5.6875,5.00656544029317
5.47368421052632,5.34308008244271
4.5,4.65672253034828
5.80952380952381,5.43114203042624
5.3125,5.14570657572441
5.47058823529412,5.03627631509259
6.4375,5.92404176427466
6.85714285714286,6.94977844563775
6.05555555555556,5.97491783675867
6.05,5.76201774761509
6.1,6.10114401788914
5.63636363636364,5.99140701655178
6.14285714285714,6.09279049359646
5.94117647058824,5.47991675522685
5.42105263157895,5.38591440380231
5.65,5.42590683789156
5.91304347826087,5.14346782778073
5.55,4.93359480419132
5.36363636363636,4.82863959011116
4.15789473684211,4.67980762528507
5.26086956521739,4.88329709870261
5.82608695652174,4.9559343146095
5.31578947368421,4.97271597591896
5.65,4.75517109758584
5.56521739130435,5.21522142336825
5.43478260869565,4.6719141292407
5.21739130434783,5.07498822792104
5.44444444444444,4.94536768890372
5.3,4.93380047984937
4.77777777777778,5.04338403808577
5.28571428571429,4.75071809619335
5.05555555555556,5.2505366461613
5.31818181818182,4.75349364142135
5.38888888888889,5.36722240415022
5.21052631578947,4.77130604830948
5.65,5.35545465993145
5.125,5.27424952569571
4.77777777777778,4.86195785524178
6.16,6.16696260783327
6.05555555555556,5.66697350202246
4.6,4.95275241153352
5.9,5.57560402705091
5.3,4.83476185287796
