"actual","predict"
4.6875,5.75287454289794
5.05882352941176,5.54757207253296
4.94117647058824,5.63322508626882
5.72727272727273,5.61955819720627
4.5625,5.51022320971617
5.625,5.59238955959907
4.94736842105263,5.79266489562991
6.17391304347826,5.68202953235901
5.23529411764706,5.62743544120578
5.11111111111111,5.68416319384526
6.04545454545455,5.65162174576847
5.29411764705882,5.60806732747364
6.05263157894737,5.54990791255506
5.68181818181818,5.7977101447285
6.05555555555556,5.55643956629813
5.35294117647059,5.44450640081812
5.5625,5.95103075729414
5.72,5.6781643195048
5.27777777777778,5.82404096687676
5.52631578947368,5.87095639843261
5.0625,5.54900187681965
5.80952380952381,5.7166987837383
5.33333333333333,5.73190621287809
5.21052631578947,5.78459931236823
5.17647058823529,5.86154624358814
6.09090909090909,5.94087181254504
5.3125,5.41106407495126
5,5.3427759628922
5.82352941176471,5.36136101512637
5.66666666666667,5.39902345801971
5.09523809523809,5.3555970783697
5.25,5.38628022313485
5.6875,5.42819709465317
5.47368421052632,5.33240780342956
4.5,5.4375025933028
5.80952380952381,5.41865535803156
5.3125,5.37546449371918
5.47058823529412,5.31888922289386
6.4375,5.4061805346025
6.85714285714286,5.53306684901712
6.05555555555556,5.60121103733535
6.05,5.5148329257087
6.1,5.50789680547155
5.63636363636364,5.33599992296923
6.14285714285714,5.56959466713757
5.94117647058824,5.66628246557174
5.42105263157895,5.43698957702933
5.65,5.34577057582192
5.91304347826087,5.38992905669327
5.55,5.43786771889496
5.36363636363636,5.46530821150034
4.15789473684211,5.38784062826948
5.26086956521739,5.35434402372223
5.82608695652174,5.40661548131797
5.31578947368421,5.83146137786781
5.65,4.89866451290622
5.56521739130435,5.18198604909458
5.43478260869565,5.33053424256449
5.21739130434783,5.14965542767543
5.44444444444444,5.14829937022564
5.3,5.53391770143393
4.77777777777778,5.47474685305215
5.28571428571429,5.50684972063085
5.05555555555556,5.52698310952637
5.31818181818182,5.40148887027605
5.38888888888889,5.49316010504901
5.21052631578947,5.39289706509945
5.65,5.42435221068069
5.125,5.32498125594954
4.77777777777778,5.40539934378306
6.16,5.54276282306443
6.05555555555556,5.55429377545764
4.6,5.34120208328502
5.9,5.50378089205708
5.3,5.48041758373178
4.36842105263158,5.45250062232989
5.91304347826087,5.46192715441497
4.92592592592593,5.45957402073882
4.8,5.51035186218266
4.95238095238095,5.38870485779605
4.85714285714286,5.43022196079332
5.73913043478261,5.48786913023691
4.09523809523809,5.41060734213773
5.16666666666667,5.4456565598813
5.29411764705882,5.12937835503903
4.96296296296296,5.0782870635656
4.625,5.12876460537595
5.16666666666667,5.02461299784371
4.88235294117647,5.27000860899287
4.86363636363636,5.29399302470295
4.73333333333333,5.20913668111395
4.25,5.2218969962697
4.4,5.31982296318195
4.33333333333333,5.29399315087482
4.59090909090909,5.34845136582538
5.19047619047619,5.1985666410302
5.65217391304348,5.46268263753317
4.85,5.46321499586096
