"ea_id","lat_modified","lon_modified","FS_year","FS_month"
10101016,-9.80998039245605,33.3872985839844,2010,4
10101016,-9.80998,33.3873,2013,4
10101204,-9.89498043060303,33.3810005187988,2010,8
10101204,-9.686266,33.239743,2013,5
10101204,-9.89498,33.381,2013,5
10101204,-11.44154,34.036984,2013,6
10101215,-9.50446033477783,33.2302017211914,2010,5
10101215,-9.50446,33.2302,2013,5
10101215,-9.967245,33.908173,2013,9
10101215,-9.688123,33.282754,2013,5
10101219,-9.5946102142334,33.4040985107422,2011,2
10101355,-9.73456954956055,33.4071998596191,2011,1
10101374,-9.58701992034912,33.2181015014648,2010,10
10101470,-9.66271018981934,33.2523994445801,2010,6
10101562,-9.66792011260986,33.3936996459961,2010,10
10101562,-9.66792,33.3937,2013,7
10101562,-13.633598,33.946516,2013,11
10101562,-9.52838,33.21675,2013,7
10101562,-9.758098,33.352994,2013,7
10101562,-13.994993,33.814167,2013,8
10101562,-9.728369,33.371926,2013,7
10101568,-9.73770999908447,33.260799407959,2010,11
10101706,-9.53645992279053,33.3866004943848,2010,11
10102004,-9.74822998046875,33.5035018920898,2010,5
10102004,-9.74823,33.5035,2013,5
10102004,-9.95901314299,33.8785372554,2013,5
10102004,-9.89937591331,33.5937586129,2013,5
10102004,-9.7798932003,33.3959337965,2013,5
10102379,-9.5815896987915,33.5918998718262,2010,11
10102621,-9.71323013305664,33.4519996643066,2011,2
10103414,-9.97159957885742,33.3739013671875,2010,9
10103414,-9.9716,33.3739,2013,6
10103452,-10.0370998382568,33.4541015625,2010,11
10103452,-10.0370998382568,33.4541015625,2010,12
10103681,-10.2009000778198,33.5987014770508,2011,3
10104150,-10.1988000869751,33.663501739502,2010,7
10104150,-10.1988,33.6635,2013,7
10104150,-10.259059,33.701109,2013,7
10104150,-11.43912,34.018784,2013,8
10104150,-15.841992,35.069496,2013,8
10104351,-10.2587995529175,33.6116981506348,2010,12
10104440,-10.4098997116089,33.6377983093262,2010,7
10105352,-9.59447956085205,33.0885009765625,2010,11
10105511,-9.40349006652832,32.9793014526367,2011,1
10105513,-9.5072603225708,33.1186981201172,2010,4
10105513,-9.5072603225708,33.1186981201172,2010,3
10120286,-9.70903015136719,33.2831993103027,2011,1
10120288,-9.69013023376465,33.2899017333984,2010,9
10201137,-9.76809978485107,33.8950996398926,2010,6
10201137,-9.76809978485107,33.8950996398926,2010,5
10201210,-9.78425025939941,33.8302001953125,2011,3
10201247,-9.79563999176025,33.8455009460449,2010,10
10201442,-9.71230030059814,33.9271011352539,2010,10
10201688,-9.84482955932617,33.8736991882324,2010,10
10201688,-9.84483,33.8737,2013,7
10201688,-11.015175,33.864554,2013,10
10201688,-11.453571,34.003228,2013,10
10201688,-13.657176,33.955696,2013,7
10201688,-9.760892,33.881145,2013,7
10201688,-10.449073,34.212309,2013,7
10201688,-9.940209,33.920756,2013,7
10202195,-9.6637601852417,33.6730003356934,2011,1
10202514,-9.6814603805542,33.8498001098633,2010,4
10202514,-9.61827,33.800714,2013,4
10202514,-9.68146,33.8498,2013,4
10202514,-9.944616,33.909064,2013,4
10203013,-10.0022001266479,33.6684989929199,2010,4
10203085,-9.91359996795654,33.9174003601074,2010,11
10203176,-9.87304973602295,33.6206016540527,2010,8
10203176,-9.87304973602295,33.6206016540527,2010,4
10203176,-9.87305,33.6206,2013,5
10203176,-9.891859,33.854987,2013,5
10203176,-9.706174,33.345283,2013,5
10203176,-9.929575,33.92164,2013,5
10203176,-9.87305,33.6206,2013,7
10203221,-9.93924045562744,33.8608016967773,2011,2
10203623,-10.170000076294,33.8033981323242,2010,11
10203744,-10.0404996871948,33.9086990356445,2010,9
10203744,-10.0404996871948,33.9086990356445,2010,8
10203744,-10.0405,33.9087,2013,6
10203744,-11.441007,34.016095,2013,6
10203744,-10.055309,33.982838,2013,6
10203744,-10.424955,34.190593,2013,6
10203744,-10.344512,34.17316,2013,6
10204101,-10.447099685669,34.2148017883301,2011,1
10204322,-10.4462003707886,34.1193008422852,2010,10
10204322,-10.4462,34.1193,2013,7
10204322,-10.176859,34.037412,2013,7
10204322,-10.30634,34.139264,2013,7
10204322,-9.910549,33.907101,2013,7
10204322,-10.457141,34.178137,2013,6
