"ea_id","FNID"
30201076,"MW2012C3999918"
30601190,"MW2012C3999918"
30901732,"MW2012C3999918"
30920609,"MW2012C3999918"
31001333,"MW2012C3999918"
31003100,"MW2012C3999918"
31003759,"MW2012C3999918"
31110462,"MW2012C3999918"
10304012,"MW2012C3999918"
10405213,"MW2012C3999918"
10734370,"MW2012C3999918"
10741504,"MW2012C3999918"
20106042,"MW2012C3999918"
30801679,"MW2012C3999918"
31001333,"MW2012C3999918"
21051203,"MW2012C3999918"
31001749,"MW2012C3999918"
30501020,"MW2012C3030519"
30507667,"MW2012C3030519"
31531161,"MW2012C3030519"
31531303,"MW2012C3030519"
31532674,"MW2012C3030519"
31533095,"MW2012C3030519"
31534553,"MW2012C3030519"
31535633,"MW2012C3030519"
31536118,"MW2012C3030519"
31536257,"MW2012C3030519"
31536751,"MW2012C3030519"
31538278,"MW2012C3030519"
31539670,"MW2012C3030519"
31540419,"MW2012C3030519"
31545384,"MW2012C3030519"
31546760,"MW2012C3030519"
31550254,"MW2012C3030519"
10733640,"MW2012C3030519"
20402198,"MW2012C3030519"
20603533,"MW2012C3030519"
20906524,"MW2012C3030519"
20903583,"MW2012C3030519"
21048764,"MW2012C3030519"
21053745,"MW2012C3030519"
21077725,"MW2012C3030519"
30108401,"MW2012C3030519"
30202252,"MW2012C3030519"
30306555,"MW2012C3030519"
30306087,"MW2012C3030519"
30503685,"MW2012C3030519"
30403444,"MW2012C3030519"
30704313,"MW2012C3030519"
30706619,"MW2012C3030519"
30620196,"MW2012C3030519"
30620196,"MW2012C3030519"
30703381,"MW2012C3030519"
30709438,"MW2012C3030519"
30801672,"MW2012C3030519"
31002169,"MW2012C3030519"
31002169,"MW2012C3030519"
31002169,"MW2012C3030519"
31108703,"MW2012C3030519"
31441389,"MW2012C3030519"
31441389,"MW2012C3030519"
31441389,"MW2012C3030519"
31533095,"MW2012C3030519"
31532674,"MW2012C3030519"
31536118,"MW2012C3030519"
31536751,"MW2012C3030519"
31540419,"MW2012C3030519"
31540419,"MW2012C3030519"
31540419,"MW2012C3030519"
31540419,"MW2012C3030519"
31539670,"MW2012C3030519"
31546760,"MW2012C3030519"
31546760,"MW2012C3030519"
31545384,"MW2012C3030519"
31550254,"MW2012C3030519"
31550254,"MW2012C3030519"
31554613,"MW2012C3030519"
10308636,"MW2012C3030519"
10502268,"MW2012C3030519"
20508349,"MW2012C3030519"
21037536,"MW2012C3030519"
21055241,"MW2012C3030519"
30105325,"MW2012C3030519"
30302601,"MW2012C3030519"
30406710,"MW2012C3030519"
30504518,"MW2012C3030519"
30704313,"MW2012C3030519"
30704313,"MW2012C3030519"
30602235,"MW2012C3030519"
30620196,"MW2012C3030519"
30705391,"MW2012C3030519"
30709438,"MW2012C3030519"
30709438,"MW2012C3030519"
31201007,"MW2012C3030519"
31443270,"MW2012C3030519"
31443270,"MW2012C3030519"
31532674,"MW2012C3030519"
31539670,"MW2012C3030519"
